Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Brazil,648,648.24,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Brunei Darussalam,556,555.86,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Bulgaria,690,690.02,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Burkina Faso,1596,1596.21,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Burundi,1643,1642.83,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Cabo Verde,778,777.83,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Cambodia,1152,1151.56,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Cameroon,1696,1696.03,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Canada,376,376.36,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Central African Republic,1926,1926.17,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Chad,1794,1794.23,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Chile,460,459.83,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,China,629,628.95,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Colombia,497,496.77,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Comoros,1284,1284.18,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Congo,1379,1379.3,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Cook Islands,577,576.7,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Costa Rica,461,460.74,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Côte d'Ivoire,1475,1474.66,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Croatia,569,569.43,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Cuba,509,509.46,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Cyprus,382,381.93,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Czech Republic,518,517.86,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Democratic People's Republic of Korea,996,995.53,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Democratic Republic of the Congo,1854,1853.53,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Denmark,467,467.1,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Djibouti,1484,1483.72,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Dominica,637,637.38,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Dominican Republic,729,728.57,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Ecuador,556,556.01,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Egypt,765,765.26,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,El Salvador,755,755.17,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Equatorial Guinea,1643,1643.04,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Eritrea,1364,1363.63,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Estonia,577,577.29,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Ethiopia,1284,1283.73,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Fiji,978,977.55,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Finland,407,406.82,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,France,369,369.1,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Gabon,1172,1171.62,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Gambia,1709,1708.67,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Georgia,793,792.61,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Germany,411,411.49,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Ghana,1101,1101.28,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Greece,400,399.54,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Grenada,666,666.43,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Guatemala,835,835.24,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Guinea,1544,1544.26,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Guinea-Bissau,1841,1840.86,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Guyana,1325,1324.67,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Haiti,1243,1242.59,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Honduras,648,647.81,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Hungary,654,653.71,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Iceland,354,354.16,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,India,1065,1065.5,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Indonesia,916,916.37,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Iran (Islamic Republic of),698,698.37,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Iraq,977,977.32,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Ireland,410,410.47,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Israel,359,359.34,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Italy,348,348.25,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Jamaica,614,614.41,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Japan,341,340.89,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Jordan,737,736.99,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Kazakhstan,1083,1082.58,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Kenya,1322,1322.48,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Kiribati,871,871.32,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Kuwait,427,426.97,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Kyrgyzstan,951,951.28,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Lao People's Democratic Republic,1009,1008.8,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Latvia,709,709.1,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Lebanon,754,754.25,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Lesotho,1987,1986.71,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Liberia,1425,1424.91,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Libya,1049,1049.49,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Lithuania,705,704.79,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Luxembourg,379,378.75,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Madagascar,981,980.59,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Malawi,1480,1479.98,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Malaysia,722,722.43,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Maldives,577,577.44,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Mali,1912,1912.13,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Malta,424,424.08,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Marshall Islands,1385,1384.92,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Mauritania,1562,1562.04,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Mauritius,683,683.24,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Mexico,624,623.7,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Micronesia (Federated States of),1030,1030.36,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Monaco,387,387,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Mongolia,978,977.99,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Montenegro,647,646.54,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Morocco,780,779.65,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Mozambique,1713,1712.73,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Myanmar,1112,1112.44,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Namibia,1095,1095.17,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Nauru,830,830.21,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Nepal,976,976.26,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Netherlands,393,393.08,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,New Zealand,383,382.6,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Nicaragua,698,697.78,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Niger,1682,1681.76,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Nigeria,1659,1659.16,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Niue,789,789.49,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Norway,386,386.13,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Oman,906,906.4,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Pakistan,992,992.33,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Palau,733,733,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Panama,526,526.45,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Papua New Guinea,1296,1296.12,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Paraguay,627,627.29,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Peru,548,547.78,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Philippines,950,950.42,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Poland,586,586.49,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Portugal,435,435.01,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Qatar,391,391.14,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Republic of Korea,406,405.76,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Republic of Moldova,876,875.8,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Romania,697,696.63,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Russian Federation,971,971.41,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Rwanda,1377,1377,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Saint Kitts and Nevis,754,754,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Saint Lucia,631,630.91,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Saint Vincent and the Grenadines,679,678.99,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Samoa,749,748.73,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,San Marino,344,343.93,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Sao Tome and Principe,1114,1114.3,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Saudi Arabia,669,668.96,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Senegal,1655,1655.1,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Serbia,716,716.15,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Seychelles,783,782.52,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Sierra Leone,2644,2643.94,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Singapore,356,355.58,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Slovakia,610,610.4,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Slovenia,431,431.21,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Solomon Islands,984,983.81,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Somalia,1796,1795.67,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,South Africa,1484,1484.24,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,South Sudan,1788,1787.71,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Spain,357,356.95,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Sri Lanka,669,668.66,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Sudan,1110,1109.78,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Suriname,720,719.76,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Swaziland,1951,1951.34,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Sweden,375,375.45,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Switzerland,345,344.65,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Syrian Arab Republic,645,645.18,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Tajikistan,945,944.54,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Thailand,665,665.31,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,The former Yugoslav Republic of Macedonia,684,684.21,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Timor-Leste,1206,1205.74,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Togo,1464,1463.63,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Tonga,797,797.39,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Trinidad and Tobago,838,837.64,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Tunisia,610,609.5,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Turkey,625,624.62,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Turkmenistan,1229,1228.71,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Tuvalu,1290,1289.83,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Uganda,1544,1544.5,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Ukraine,879,879,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,United Arab Emirates,664,664.19,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,United Kingdom,419,419.46,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,United Republic of Tanzania,1340,1340.1,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,United States of America,486,485.71,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Uruguay,571,570.99,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Uzbekistan,962,961.65,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Vanuatu,847,846.73,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Venezuela (Bolivarian Republic of),579,579.35,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Viet Nam,612,611.76,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Yemen,1145,1145.38,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Zambia,1615,1614.96,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Zimbabwe,1636,1636.24,,,
