Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Physicians density (per 1000 population),Published,2004,Africa,Senegal,0.06,0.06,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Americas,Canada,10.048,10.048,,,
Dentistry personnel density density (per 1000 population),Published,2007,South-East Asia,Maldives,0.012,0.012,,,
Physicians density (per 1000 population),Published,2004,Africa,Botswana,0.4,0.4,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Africa,Congo,1.275,1.275,,,
Dentistry personnel density density (per 1000 population),Published,2009,Africa,Mauritania,0.027,0.027,,,
Pharmaceutical personnel density (per 1000 population),Published,1993,South-East Asia,Sri Lanka,0.033,0.033,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2009,Africa,Zambia,0.064,0.064,,,
Laboratory health workers density (per 1000 population),Published,2007,South-East Asia,Bangladesh,0.026,0.026,,,
Health management & support workers density (per 1000 population),Published,2003,Americas,Grenada,0.05,0.05,,,
Dentistry personnel density density (per 1000 population),Published,2005,Africa,Gambia,0.007,0.007,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Guinea-Bissau,0.03,0.03,,,Includes only technicians/assistants
Laboratory health workers density (per 1000 population),Published,2006,Africa,Congo,0.125,0.125,,,
Health management & support workers density (per 1000 population),Published,1990,Americas,Ecuador,1.18,1.18,,,
Other health workers density (per 1000 population),Published,2005,Africa,Nigeria,0.158,0.158,,,
Other health workers density (per 1000 population),Published,2009,Europe,Kazakhstan,9.368,9.368,,,
Community and traditional health workers density (per 1000 population),Published,2005,Africa,Botswana,0.521,0.521,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Nigeria,1.599,1.599,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Senegal,0.02,0.02,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Western Pacific,Micronesia (Federated States of),0.1834,0.1834,,,
Physicians density (per 1000 population),Published,1992,Western Pacific,Japan,1.7664,1.7664,,,
Dentistry personnel density density (per 1000 population),Published,1994,Americas,Saint Kitts and Nevis,0.233,0.233,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Zimbabwe,0.024,0.024,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Nigeria,0.91,0.91,,,
Other health workers density (per 1000 population),Published,2004,Africa,South Africa,0.9,0.9,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Morocco,0.51,0.51,,,
Physicians density (per 1000 population),Published,2009,Western Pacific,China,1.415,1.415,,,
Other health workers density (per 1000 population),Published,2002,Eastern Mediterranean,Syrian Arab Republic,0.809,0.809,,,
Physicians density (per 1000 population),Published,1996,Americas,Colombia,1.16,1.16,,,
Health management & support workers density (per 1000 population),Published,2005,Americas,Barbados,0.022,0.022,,,
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Niue,4,4,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Uzbekistan,10.684,10.684,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Uzbekistan </br><b>Year: </b>2010</br><b>Value:</b>10.684</br><b> Data Source:</b> Health for all database, WHO/EURO "
Laboratory health workers density (per 1000 population),Published,2007,Africa,Togo,0.065,0.065,,,
Other health workers density (per 1000 population),Published,2008,Africa,Ethiopia,0.041,0.041,,,
Physicians density (per 1000 population),Published,2009,Eastern Mediterranean,Libya,1.9,1.9,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Bahrain,3.733,3.733,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,2004,Western Pacific,Kiribati,0.0348,0.0348,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Qatar,1.353,1.353,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Europe,Turkey,0.354,0.354,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Jordan,1.353,1.353,,,
Nursing and midwifery personnel density (per 1000 population),Published,1995,Africa,Zimbabwe,1.485,1.485,,,
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Bosnia and Herzegovina,0.203,0.203,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,South Africa,0.32,0.32,,,
Dentistry personnel density density (per 1000 population),Published,2009,Eastern Mediterranean,Jordan,0.705,0.705,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Pakistan,0.74,0.74,,,
Nursing and midwifery personnel density (per 1000 population),Published,1998,Europe,Turkey,1.666,1.666,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>1998</br><b>Value:</b>1.666</br><b> Data Source:</b> Ministry of Health
Nursing and midwifery personnel density (per 1000 population),Published,1996,Eastern Mediterranean,Pakistan,0.3617,0.3617,,,
Dentistry personnel density density (per 1000 population),Published,1993,Eastern Mediterranean,Pakistan,0.0201,0.0201,,,
Other health workers density (per 1000 population),Published,2006,Americas,Canada,3.3897,3.3897,,,
Environmental and public health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Jordan,0.25,0.25,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,Americas,Colombia,0.05,0.05,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,1991,Europe,Turkey,0.273,0.273,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Croatia,5.516,5.516,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Croatia </br><b>Year: </b>2010</br><b>Value:</b>5.516</br><b> Data Source:</b> Health for all database, WHO/EURO "
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Ghana,0.662,0.662,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Europe,Armenia,0.039,0.039,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Equatorial Guinea,0.04,0.04,,,
Community and traditional health workers density (per 1000 population),Published,2003,Africa,Ethiopia,0.26,0.26,,,
Physicians density (per 1000 population),Published,2005,Eastern Mediterranean,Iran (Islamic Republic of),0.89,0.89,,,
Physicians density (per 1000 population),Published,2000,Americas,United States of America,2.56,2.56,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Estonia,6.561,6.561,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Estonia </br><b>Year: </b>2010</br><b>Value:</b>6.561</br><b> Data Source:</b> Statistics Estonia
Dentistry personnel density density (per 1000 population),Published,1993,South-East Asia,Sri Lanka,0.022,0.022,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Mali,0.201,0.201,,,
Environmental and public health workers density (per 1000 population),Published,2006,Eastern Mediterranean,Sudan,0.0783,0.0783,,,
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Qatar,2.757,2.757,,,
Dentistry personnel density density (per 1000 population),Published,2000,Western Pacific,Brunei Darussalam,0.14,0.14,,,
Other health workers density (per 1000 population),Published,2010,Europe,Belgium,9.036,9.036,,,
Other health workers density (per 1000 population),Published,2008,Americas,Brazil,1.11,1.11,,,
Dentistry personnel density density (per 1000 population),Published,2008,Africa,C?te d'Ivoire,0.014,0.014,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Oman,1.32,1.32,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Sudan,0.01,0.01,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Zimbabwe,0.09,0.09,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Ethiopia,0.016,0.016,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Ecuador,0.04,0.04,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Ghana,0.682,0.682,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,1994,Americas,Colombia,0.44,0.44,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,2007,South-East Asia,Bangladesh,0.272,0.272,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Afghanistan,0.413,0.413,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Comoros,0.08,0.08,,,
Dentistry personnel density density (per 1000 population),Published,2009,Americas,Ecuador,0.24,0.24,,,
Health management & support workers density (per 1000 population),Published,2003,South-East Asia,Indonesia,1.04,1.04,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,South-East Asia,Thailand,0.101,0.101,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2002,Eastern Mediterranean,Syrian Arab Republic,1.443,1.443,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Mali,0.142,0.142,,,
Dentistry personnel density density (per 1000 population),Published,2003,Africa,Gambia,0.03,0.03,,,
Physicians density (per 1000 population),Published,2002,South-East Asia,Thailand,0.305,0.305,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,South-East Asia,Indonesia,1.089,1.089,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Indonesia </br><b>Year: </b>2010</br><b>Value:</b>1.089</br><b> Data Source:</b> Kementerian Kesehatan Republik Indonesia
Dentistry personnel density density (per 1000 population),Published,2002,Americas,El Salvador,0.54,0.54,,,
Dentistry personnel density density (per 1000 population),Published,2001,Western Pacific,New Zealand,0.68,0.68,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Jordan,3.164,3.164,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Jordan </br><b>Year: </b>2007</br><b>Value:</b>3.164</br><b> Data Source:</b> Ministry of Health
Pharmaceutical personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Sudan,0.01,0.01,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2009,Africa,Malawi,0.013,0.013,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Togo,0.003,0.003,,,
Laboratory health workers density (per 1000 population),Published,2001,Western Pacific,New Zealand,0.97,0.97,,,
Environmental and public health workers density (per 1000 population),Published,2009,Africa,Rwanda,0.013,0.013,,,
Physicians density (per 1000 population),Published,2010,Europe,Estonia,3.343,3.343,,,<b>Physicians: </b></br><b> Country: </b>Estonia </br><b>Year: </b>2010</br><b>Value:</b>3.343</br><b> Data Source:</b> Statistics Estonia
Pharmaceutical personnel density (per 1000 population),Published,2000,Western Pacific,Brunei Darussalam,0.27,0.27,,,
Physicians density (per 1000 population),Published,2010,Europe,Austria,4.862,4.862,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Austria </br><b>Year: </b>2010</br><b>Value:</b>4.862</br><b> Data Source:</b> Health for all database, WHO/EURO "
Environmental and public health workers density (per 1000 population),Published,2004,Africa,C?te d'Ivoire,0.01,0.01,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Barbados,0.127,0.127,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Cabo Verde,0.006,0.006,,,Includes only dentists
Physicians density (per 1000 population),Published,1999,Americas,Peru,1.17,1.17,,,
Physicians density (per 1000 population),Published,1990,Americas,Colombia,0.96,0.96,,,
Physicians density (per 1000 population),Published,2001,Americas,Grenada,0.72,0.72,,,
Physicians density (per 1000 population),Published,2011,Europe,Kazakhstan,3.84,3.84,,,<b>Physicians: </b></br><b> Country: </b>Kazakhstan </br><b>Year: </b>2011</br><b>Value:</b>3.84</br><b> Data Source:</b> The Agency of Statistics of the Republic of Kazakhstan
Pharmaceutical personnel density (per 1000 population),Published,2012,Western Pacific,Papua New Guinea,0.049,0.049,,,
Environmental and public health workers density (per 1000 population),Published,2005,Africa,Nigeria,0.026,0.026,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Singapore,5.901,5.901,,,
Laboratory health workers density (per 1000 population),Published,2010,Africa,Rwanda,0.085,0.085,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Zambia,0.717,0.717,,,
Physicians density (per 1000 population),Published,2009,Europe,Hungary,3.523,3.523,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Djibouti,0.03,0.03,,,
Physicians density (per 1000 population),Published,1996,Europe,Croatia,2.133,2.133,,,
Pharmaceutical personnel density (per 1000 population),Published,2012,Africa,Democratic Republic of the Congo,0.004,0.004,,,
Other health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Tunisia,1.09,1.09,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Africa,Swaziland,1.602,1.602,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Swaziland </br><b>Year: </b>2009</br><b>Value:</b>1.602</br><b> Data Source:</b> Ministry of Health and Social Welfare
Physicians density (per 1000 population),Published,2000,Americas,Barbados,1.367,1.367,,,
Dentistry personnel density density (per 1000 population),Published,1994,Americas,Colombia,0.57,0.57,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Samoa,0.34,0.34,,,
Other health workers density (per 1000 population),Published,2004,Africa,Niger,0.04,0.04,,,
Pharmaceutical personnel density (per 1000 population),Published,2001,Americas,Barbados,0.69,0.69,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,2004,Africa,Mauritania,0.04,0.04,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Nigeria,2.507,2.507,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Senegal,0.794,0.794,,,
Physicians density (per 1000 population),Published,2006,Africa,Cabo Verde,0.233,0.233,,,
Physicians density (per 1000 population),Published,1994,Americas,Ecuador,1.28,1.28,,,
Other health workers density (per 1000 population),Published,2008,Africa,Gambia,0.987,0.987,,,
Environmental and public health workers density (per 1000 population),Published,2007,Africa,Togo,0.039,0.039,,,
Dentistry personnel density density (per 1000 population),Published,1997,Americas,Dominica,0.05,0.05,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2005,South-East Asia,India,0.046,0.046,,,
Dentistry personnel density density (per 1000 population),Published,1994,Eastern Mediterranean,Tunisia,0.114,0.114,,,Includes only dentists
Physicians density (per 1000 population),Published,2008,Western Pacific,Viet Nam,1.224,1.224,,,
Health management & support workers density (per 1000 population),Published,2000,Americas,United States of America,24.76,24.76,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Eastern Mediterranean,Syrian Arab Republic,0.607,0.607,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,1992,Americas,Ecuador,1.69,1.69,,,
Dentistry personnel density density (per 1000 population),Published,2006,Western Pacific,Australia,1.455,1.455,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Pakistan,0.054,0.054,,,Includes only dentists
Physicians density (per 1000 population),Published,2010,Europe,Bulgaria,3.76,3.76,,,<b>Physicians: </b></br><b> Country: </b>Bulgaria </br><b>Year: </b>2010</br><b>Value:</b>3.76</br><b> Data Source:</b> National Statistical Institute
Community and traditional health workers density (per 1000 population),Published,2001,Americas,Saint Kitts and Nevis,1.143,1.143,,,
Environmental and public health workers density (per 1000 population),Published,2005,South-East Asia,Myanmar,0.037,0.037,,,
Environmental and public health workers density (per 1000 population),Published,2000,Americas,Saint Kitts and Nevis,0.4047,0.4047,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,Eastern Mediterranean,Jordan,3.092,3.092,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Jordan </br><b>Year: </b>2000</br><b>Value:</b>3.092</br><b> Data Source:</b> Ministry of Health
Physicians density (per 1000 population),Published,1997,Africa,Chad,0.027,0.027,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Americas,Canada,0.8314,0.8314,,,
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Somalia,0.035,0.035,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Africa,C?te d'Ivoire,0.007,0.007,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,1999,Western Pacific,Fiji,0.04,0.04,,,
Physicians density (per 1000 population),Published,2004,Africa,Uganda,0.08,0.08,,,
Laboratory health workers density (per 1000 population),Published,1999,Americas,Grenada,0.25,0.25,,,
Physicians density (per 1000 population),Published,2007,Eastern Mediterranean,Iraq,0.528,0.528,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Tunisia,0.2,0.2,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2012,Western Pacific,Tonga,0.086,0.086,,,
Other health workers density (per 1000 population),Published,1996,South-East Asia,Maldives,0.326,0.326,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Guinea,0.06,0.06,,,
Dentistry personnel density density (per 1000 population),Published,2008,Africa,Senegal,0.008,0.008,,,
Physicians density (per 1000 population),Published,2007,Western Pacific,Vanuatu,0.12,0.12,,,
Physicians density (per 1000 population),Published,2009,Africa,Cabo Verde,0.234,0.234,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Western Pacific,Cook Islands,0.1176,0.1176,,,
Laboratory health workers density (per 1000 population),Published,2006,Africa,Ethiopia,0.028,0.028,,,
Dentistry personnel density density (per 1000 population),Published,2009,Europe,Turkey,0.267,0.267,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,Americas,Ecuador,0.03,0.03,,,Includes only pharmacists
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Mauritius,0.19,0.19,,,
Dentistry personnel density density (per 1000 population),Published,2002,Africa,Algeria,0.31,0.31,,,
Physicians density (per 1000 population),Published,2011,Europe,Monaco,7.056,7.056,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Monaco </br><b>Year: </b>2011</br><b>Value:</b>7.056</br><b> Data Source:</b> Health for all database, WHO/EURO "
Other health workers density (per 1000 population),Published,1997,Eastern Mediterranean,Yemen,0.231,0.231,,,
Other health workers density (per 1000 population),Published,2002,Africa,Algeria,0.18,0.18,,,
Laboratory health workers density (per 1000 population),Published,2009,Western Pacific,Tonga,0.27,0.27,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Ghana,1.394,1.394,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Kuwait,4.268,4.268,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Afghanistan,0.025,0.025,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2008,Africa,Mozambique,0.03,0.03,,,
Physicians density (per 1000 population),Published,2006,Western Pacific,Niue,4,4,,,
Other health workers density (per 1000 population),Published,2002,Europe,Turkey,0.713,0.713,,,
Other health workers density (per 1000 population),Published,2006,Africa,Congo,0.647,0.647,,,
Dentistry personnel density density (per 1000 population),Published,2011,Europe,Armenia,0.418,0.418,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,Americas,Grenada,4.52,4.52,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,2007,South-East Asia,Sri Lanka,0.083,0.083,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Mongolia,0.396,0.396,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,Eastern Mediterranean,Oman,0.189,0.189,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Benin,0.03,0.03,,,
Dentistry personnel density density (per 1000 population),Published,2004,Americas,Suriname,0.096,0.096,,,
Other health workers density (per 1000 population),Published,1997,South-East Asia,Sri Lanka,0.076,0.076,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Oman,3.896,3.896,,,Includes only nurses
Laboratory health workers density (per 1000 population),Published,2000,Americas,Saint Kitts and Nevis,0.4047,0.4047,,,
Dentistry personnel density density (per 1000 population),Published,1996,Europe,Turkey,0.193,0.193,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2010,Eastern Mediterranean,Bahrain,0.372,0.372,,,
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Jordan,2.352,2.352,,,
Other health workers density (per 1000 population),Published,2009,Americas,Canada,0.09,0.09,,,
Health management & support workers density (per 1000 population),Published,2006,Africa,Congo,0.252,0.252,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Africa,Kenya,0.762,0.762,,,<b>Nursing and midwifery personnel: </b>Includes registered nurses only</br><b> Country: </b>Kenya </br><b>Year: </b>2010</br><b>Value:</b>0.762</br><b> Data Source:</b> Kenya Bureau of Statistics
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Togo,0.002,0.002,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Morocco,0.24,0.24,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,C?te d'Ivoire,0.495,0.495,,,
Physicians density (per 1000 population),Published,2005,Africa,Algeria,1.033,1.033,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Africa,Zambia,0.009,0.009,,,
Nursing and midwifery personnel density (per 1000 population),Published,1995,Europe,Turkey,1.646,1.646,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>1995</br><b>Value:</b>1.646</br><b> Data Source:</b> Ministry of Health
Physicians density (per 1000 population),Published,2005,Eastern Mediterranean,United Arab Emirates,1.545,1.545,,,
Other health workers density (per 1000 population),Published,2011,Europe,Turkey,1.505,1.505,,,
Other health workers density (per 1000 population),Published,1995,Eastern Mediterranean,Oman,1.598,1.598,,,
Other health workers density (per 1000 population),Published,2009,Africa,Zambia,1.181,1.181,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Pakistan,0.557,0.557,,,
Other health workers density (per 1000 population),Published,2009,Africa,Mali,0.284,0.284,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Oman,0.889,0.889,,,
Physicians density (per 1000 population),Published,2009,Europe,Italy,3.802,3.802,,,
Physicians density (per 1000 population),Published,2005,Africa,Cameroon,0.064,0.064,,,
Physicians density (per 1000 population),Published,2002,Western Pacific,New Zealand,2.1294,2.1294,,,
Physicians density (per 1000 population),Published,2010,Europe,Slovenia,2.542,2.542,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Slovenia </br><b>Year: </b>2010</br><b>Value:</b>2.542</br><b> Data Source:</b> Health for all database, WHO/EURO "
Dentistry personnel density density (per 1000 population),Published,2008,South-East Asia,Myanmar,0.049,0.049,,,
Laboratory health workers density (per 1000 population),Published,1995,Americas,Barbados,0.3,0.3,,,
Health management & support workers density (per 1000 population),Published,1999,Americas,Ecuador,1.23,1.23,,,
Community and traditional health workers density (per 1000 population),Published,2007,Africa,Mali,0.077,0.077,,,
Physicians density (per 1000 population),Published,2010,Europe,Cyprus,2.753,2.753,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Cyprus </br><b>Year: </b>2010</br><b>Value:</b>2.753</br><b> Data Source:</b> Health for all database, WHO/EURO "
Health management & support workers density (per 1000 population),Published,2004,Africa,Sao Tome and Principe,1.75,1.75,,,
Dentistry personnel density density (per 1000 population),Published,2004,Western Pacific,Singapore,0.284,0.284,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,1992,South-East Asia,Indonesia,0.02,0.02,,,Includes only technicians/assistants
Laboratory health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Morocco,0.05,0.05,,,
Physicians density (per 1000 population),Published,2003,South-East Asia,Indonesia,0.13,0.13,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Singapore,1.747,1.747,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Malaysia,0.941,0.941,,,
Dentistry personnel density density (per 1000 population),Published,2003,South-East Asia,Indonesia,0.03,0.03,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,South-East Asia,Sri Lanka,1.326,1.326,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Lebanon,1.897,1.897,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,1998,Eastern Mediterranean,Jordan,0.527,0.527,,,
Dentistry personnel density density (per 1000 population),Published,2010,Africa,Zambia,0.019,0.019,,,
Health management & support workers density (per 1000 population),Published,2007,Africa,Togo,0.365,0.365,,,
Pharmaceutical personnel density (per 1000 population),Published,1994,Africa,Gabon,0.023,0.023,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Pakistan,0.05,0.05,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,Europe,Turkey,0.315,0.315,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,1993,Europe,Croatia,0.368,0.368,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,2008,Americas,Uruguay,0.17,0.17,,,
